Metric,Sin(x),Cos(x),Tan(x)
Mean Absolute Error,0.02973645,0.03977551,0.42089433
Root Mean Squared Error,0.05175298,0.05129632,1.55436219
Max Absolute Error,0.18581673,0.14487619,20.82431860
Standard Deviation of Error,0.04792262,0.04983177,1.55410724
Mean Error (Bias),0.01953952,0.01216993,-0.02815146
Median Absolute Error,0.01487915,0.03157656,0.05879239
95th Percentile Error,0.15224785,0.11598598,1.95818682
99th Percentile Error,0.18420565,0.14350695,7.27614447
